date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2004-04-02,20040664,"Quicksilver, Inc.","DC Shoes, Inc.","DC Shoes, Inc.","20040664: Quicksilver, Inc.; DC Shoes, Inc."
2004-03-29,20040575,Mr. Sumner M. Redstone,"Midway Games, Inc.","Midway Games, Inc.","20040575: Mr. Sumner M. Redstone; Midway Games, Inc."
2004-04-08,20040643,Hunter's Glen/Ford Trust,"Liberte Investors, Inc.","Liberte Investors, Inc.","20040643: Hunter's Glen/Ford Trust; Liberte Investors, Inc."
2004-04-02,20040661,"Fossil, Inc.",Jack Barouh,Tempus International Corp.,"20040661: Fossil, Inc.; Jack Barouh"
2004-03-26,20040644,Intersil Corporation,"Xicor, Inc.","Xicor, Inc.","20040644: Intersil Corporation; Xicor, Inc."
2004-04-08,20040640,Union Planters Corporation,Regions Financial Corporation,Regions Financial Corporation,20040640: Union Planters Corporation; Regions Financial Corporation
2004-04-02,20040639,Global Home Products LLC,Newell Rubbermaid Inc.,"Anchor Hocking, Inc.; Calphalon Corporation; Intercraft Company; Newell Holdings Delaware, Inc.; Newell Industries Canada Inc.; Newell Operating Company; Newell Purerto Rico, Ltd.",20040639: Global Home Products LLC; Newell Rubbermaid Inc.
2004-03-26,20040625,Duke Energy Corporation,ConocoPhillips,ConocoPhillips Company,20040625: Duke Energy Corporation; ConocoPhillips
2004-04-07,20040633,Ecolab Inc.,Alcide Corporation,Alcide Corporation,20040633: Ecolab Inc.; Alcide Corporation
2004-03-30,20040621,Annaly Mortgage Management  Inc.,Michael A.J. Farrell,"Fixed Income Discount Advisory Company, Inc.",20040621: Annaly Mortgage Management Inc.; Michael A.J. Farrell
2004-03-26,20040602,Heroux-Devtek Inc.,Guinn Dale Crousen,"Progressive Incorporated; Promilling, L.P.",20040602: Heroux-Devtek Inc.; Guinn Dale Crousen
2004-04-06,20040678,"Dominion Resources, Inc.","DLJ Merchant Banking Partners III, L.P.","Cogeneration Capital Corp.; Mecklenburg Cogenco, Inc.; UAE Mecklenburg Cogeneration, L.P.","20040678: Dominion Resources, Inc.; DLJ Merchant Banking Partners III, L.P."
