date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2019-06-12,20191436,CCP X No. 2 LP,Tarsus Group plc,Tarsus Group plc,20191436: CCP X No. 2 LP; Tarsus Group plc
2019-06-11,20191446,Fortive Corporation,IT Parent Holdco Ltd.,IT Parent Holdco Ltd.,20191446: Fortive Corporation; IT Parent Holdco Ltd.
2019-05-31,20191341,LG Household & Health Care Ltd.,Cleveland NA Investor LLC,New Avon LLC,20191341: LG Household & Health Care Ltd.; Cleveland NA Investor LLC
2019-05-22,20191250,RWE Aktiengesellschaft,E.ON SE,E.ON Climate and Renewables North America LLC,20191250: RWE Aktiengesellschaft; E.ON SE
2019-05-22,20191260,Longleaf Partners Funds Trust,CNX Resources Corporation,CNX Resources Corporation,20191260: Longleaf Partners Funds Trust; CNX Resources Corporation
2019-05-22,20191273,Blackstone Energy Partners II Q L.P.,"PDC Energy, Inc.",Permian Gas LLC,"20191273: Blackstone Energy Partners II Q L.P.; PDC Energy, Inc."
2019-05-22,20191275,The Lundbeck Foundation,"CHP III, L.P.","Abide Therapeutics, Inc.","20191275: The Lundbeck Foundation; CHP III, L.P."
2019-05-22,20191282,WaterBridge Holdings LLC,"PDC Energy, Inc.",Permian Water LLC,"20191282: WaterBridge Holdings LLC; PDC Energy, Inc."
2019-05-22,20191293,DSV A/S,Panalpina Welttransport (Holding) AG,Panalpina Welttransport (Holding) AG,20191293: DSV A/S; Panalpina Welttransport (Holding) AG
2019-05-21,20191259,Genossenschaft Constanter,Daniel S. O'Connell,Procurement Advisors LLC,20191259: Genossenschaft Constanter; Daniel S. O'Connell
2019-05-20,20191301,"Francisco Partners V, L.P.","Perforce Software Investment Holdings, L.P.","Perforce Software Holdings, Inc.","20191301: Francisco Partners V, L.P.; Perforce Software Investment Holdings, L.P."
2019-05-20,20191304,"Francisco Partners V-A, L.P.","Perforce Software Investment Holdings, L.P.","Perforce Software Holdings, Inc.","20191304: Francisco Partners V-A, L.P.; Perforce Software Investment Holdings, L.P."
2019-05-20,20191307,Glencore plc,PolyMet Mining Corp,PolyMet Mining Corp,20191307: Glencore plc; PolyMet Mining Corp
2019-05-20,20191312,"Mountaingate Capital Fund I, L.P.",Meritdirect LLC,Meritdirect LLC,"20191312: Mountaingate Capital Fund I, L.P.; Meritdirect LLC"
2019-05-17,20191026,Black Ridge Acquisition Corp.,Ourgame International Holdings Limited,"Allied Esports Media, Inc.",20191026: Black Ridge Acquisition Corp.; Ourgame International Holdings Limited
2019-05-17,20191303,"General Atlantic Partners 100, L.P.","Alkami Technology, Inc.","Alkami Technology, Inc.","20191303: General Atlantic Partners 100, L.P.; Alkami Technology, Inc."
2019-05-17,20191234,"HCA Healthcare, Inc.","Isleworth Partners, Inc.","Isleworth Partners, Inc.","20191234: HCA Healthcare, Inc.; Isleworth Partners, Inc."
2019-05-17,20191309,Confluent Health Holdings L.P.,"Confluent Health, LLC","Confluent Health, LLC","20191309: Confluent Health Holdings L.P.; Confluent Health, LLC"
2019-05-17,20191270,"Post Holdings, Inc.","TreeHouse Foods, Inc.","TreeHouse Private Brands, Inc.","20191270: Post Holdings, Inc.; TreeHouse Foods, Inc."
2019-05-17,20191310,"H.I.G. Capital Partners V, L.P.","Centerbridge Credit Partners Master, L.P.","Cardinal Holdco, LLC","20191310: H.I.G. Capital Partners V, L.P.; Centerbridge Credit Partners Master, L.P."
2019-05-17,20191276,"Principal Financial Group, Inc.",Wells Fargo & Company,"Wells Fargo Bank, N.A.","20191276: Principal Financial Group, Inc.; Wells Fargo & Company"
2019-05-17,20191277,Sealed Air Corporation,"APS Holding Company, Inc.","Automated Packaging Systems, LLC","20191277: Sealed Air Corporation; APS Holding Company, Inc."
2019-05-17,20191278,Jeffrey O. Spiegel,Pou Chen Corporation,Texas Clothing Holding Corp.,20191278: Jeffrey O. Spiegel; Pou Chen Corporation
2019-05-17,20191279,Astorg VI SLP,Merz Holding GmbH & Co. KG,Merz Pharmaceuticals GmbH,20191279: Astorg VI SLP; Merz Holding GmbH & Co. KG
2019-05-17,20191283,"Thoma Bravo Fund XIII-A, L.P.","KKR North America Fund XI, L.P.",Micro Holding Corp.,"20191283: Thoma Bravo Fund XIII-A, L.P.; KKR North America Fund XI, L.P."
2019-05-17,20191286,Rocket Internet Capital Partners (Euro) SCS,"JRSK, Inc.","JRSK, Inc.","20191286: Rocket Internet Capital Partners (Euro) SCS; JRSK, Inc."
2019-05-17,20191287,Rocket Internet Capital Partners SCS,"JRSK, Inc.","JRSK, Inc.","20191287: Rocket Internet Capital Partners SCS; JRSK, Inc."
2019-05-17,20191289,"Cable One, Inc.",Fidelity Communications Co.,"Fidelity Communication International, Inc; FidelityLink, LLC1; Fidelity Cablevision, Inc; Fidelity Telephone Company; Fidelity Communications Services I, Inc; Fidelity Long Distance, Inc; Fidelity Communication Services III, Inc; Fidelity Networks, Inc; Fidelity Solutions, Inc; Fidelity Systems Plus, Inc; Fidelity Communication Services II, Inc","20191289: Cable One, Inc.; Fidelity Communications Co."
2019-05-17,20191290,"Gauge Capital II, L.P.",Genossenschaft Constanter,"irth Holdings, LLC; BSI Hold 11, Inc.","20191290: Gauge Capital II, L.P.; Genossenschaft Constanter"
2019-05-17,20191292,"Kali P. Chaudhuri, trustee","Verity Health System of California, Inc.","Verity Health System of California, Inc.","20191292: Kali P. Chaudhuri, trustee; Verity Health System of California, Inc."
2019-05-17,20191295,"Xilinx, Inc.","Solarflare Communications, Inc.","Solarflare Communications, Inc.","20191295: Xilinx, Inc.; Solarflare Communications, Inc."
2019-05-17,20191299,"Genstar Capital Partners IX, L.P.","Pegasus Global Enterprise Holdings, LLC","Pegasus Global Enterprise Holdings, LLC","20191299: Genstar Capital Partners IX, L.P.; Pegasus Global Enterprise Holdings, LLC"
2019-05-17,20191300,"Clearlake Capital Partners V, L.P.","Dude Solutions Holdings, Inc.","Dude Solutions Holdings, Inc.","20191300: Clearlake Capital Partners V, L.P.; Dude Solutions Holdings, Inc."
2019-05-15,20191230,New Lux SCSp,"iContracts, Inc.","iContracts, Inc.","20191230: New Lux SCSp; iContracts, Inc."
2019-05-14,20191268,"True Wind Capital, L.P.",Zix Corporation,Zix Corporation,"20191268: True Wind Capital, L.P.; Zix Corporation"
2019-05-13,20191237,"Marquee Brands Partners, LP","Sequential Brands Group, Inc.","GP Holdco; Martha Stewart Living Omnimedia, LP","20191237: Marquee Brands Partners, LP; Sequential Brands Group, Inc."
2019-05-13,20191238,John Bean Technologies Corporation,Robert J. Hargreaves,Proseal UK Limited,20191238: John Bean Technologies Corporation; Robert J. Hargreaves
2019-05-13,20191239,John Bean Technologies Corporation,Stephen M. Malone,Proseal UK Limited,20191239: John Bean Technologies Corporation; Stephen M. Malone
2019-05-13,20191242,PAI Europe VII-1 SCSp,Elior Group SA,Areas Worldwide SA,20191242: PAI Europe VII-1 SCSp; Elior Group SA
2019-05-13,20191243,Deutsche Borse AG,"Axioma, Inc.","Axioma, Inc.","20191243: Deutsche Borse AG; Axioma, Inc."
2019-05-13,20191247,"The Resolute Fund IV, L.P.",Dr. Babak Daneshrad,"Silvus Technologies, Inc.","20191247: The Resolute Fund IV, L.P.; Dr. Babak Daneshrad"
2019-05-13,20191252,"Peppertree Capital Fund VII QP, LP",William G. Davis,"Tarpon Towers Holdings, LLC","20191252: Peppertree Capital Fund VII QP, LP; William G. Davis"
2019-05-13,20191253,Yeung Family Trust V,Safanad Limited,"Global School Management, LP",20191253: Yeung Family Trust V; Safanad Limited
2019-05-13,20191258,John Laing Group plc,ENGIE S.A.,"Live Oak Wind Partners, LLC",20191258: John Laing Group plc; ENGIE S.A.
2019-05-13,20191262,"Bain Capital Fund XII, L.P.","Audax Private Equity Fund V-A, L.P.","Imperial Dade Intermediate Holdings, LLC","20191262: Bain Capital Fund XII, L.P.; Audax Private Equity Fund V-A, L.P."
2019-05-13,20191263,"PayPal Holdings, Inc.","Uber Technologies, Inc.","Uber Technologies, Inc.","20191263: PayPal Holdings, Inc.; Uber Technologies, Inc."
2019-05-13,20191264,Marathon Petroleum Corporation,James D. Newman,"NOCO Energy Corp.; NOCO Express Properties, LLC; NOCO Express, LLC; NOCO Properties, LLC; Gramax, LLC; KYCHA, LLC; Pilgrim Associates, LLC; Elmwood Village, LLC",20191264: Marathon Petroleum Corporation; James D. Newman
2019-05-13,20191265,Marathon Petroleum Corporation,Michael F. Newman,"NOCO Energy Corp.; NOCO Express Properties, LLC; NOCO Express, LLC; NOCO Properties, LLC; Gramax, LLC; KYCHA, LLC; Pilgrim Associates, LLC; Elmwood Village, LLC",20191265: Marathon Petroleum Corporation; Michael F. Newman
2019-05-13,20191272,"H.I.G. Capital Partners V, L.P.","Riveron Holdings, LP","Riveron Consulting, LLC","20191272: H.I.G. Capital Partners V, L.P.; Riveron Holdings, LP"
2019-05-13,20191232,"Shanghai RAAS Blood Products Co., Ltd.","Grifols, S.A.",Grifols Diagnostic Solutions Inc.,"20191232: Shanghai RAAS Blood Products Co., Ltd.; Grifols, S.A."
2019-05-13,20191235,DIF Infrastructure V Cooperatief U.A.,Macquarie Infrastructure Corporation,"Brahms Wind, LLC; Exergy Idaho Holdings LLC; Idaho Wind Partners 1, LLC",20191235: DIF Infrastructure V Cooperatief U.A.; Macquarie Infrastructure Corporation
2019-05-09,20191103,Halmont Properties Corporation,"Oaktree Capital Group Holdings, L.P.","Oaktree Capital Group, LLC","20191103: Halmont Properties Corporation; Oaktree Capital Group Holdings, L.P."
2019-04-23,20191095,National Grid plc,"Geronimo Energy Holdings, LLC","Geronimo Energy, LLC","20191095: National Grid plc; Geronimo Energy Holdings, LLC"
2019-04-23,20191098,National Grid plc,"Emerald Energy Venture, LLC","Emerald Energy Venture, LLC","20191098: National Grid plc; Emerald Energy Venture, LLC"
2019-04-22,20191134,FUJIFILM Holdings Corporation,Biogen Inc.,Biogen (Denmark) New Manufacturing ApS,20191134: FUJIFILM Holdings Corporation; Biogen Inc.
2019-04-22,20191136,ON Semiconductor Corporation,"Quantenna Communications, Inc.","Quantenna Communications, Inc.","20191136: ON Semiconductor Corporation; Quantenna Communications, Inc."
2019-04-22,20191158,"Clearlake Capital Partners V, L.P.","Alert Holding Company, Inc.","Alert Holding Company, Inc.","20191158: Clearlake Capital Partners V, L.P.; Alert Holding Company, Inc."
2019-04-19,20191039,Barrick Gold Corporation,JV Company,JV Company,20191039: Barrick Gold Corporation; JV Company
2019-04-19,20191145,Encompass Health Corporation,"Alacare Home Health Services, Inc.","Alacare Home Health Services, Inc.","20191145: Encompass Health Corporation; Alacare Home Health Services, Inc."
2019-04-19,20191091,"Rockwell Automation, Inc.",Sensia U.S.,Sensia U.S.,"20191091: Rockwell Automation, Inc.; Sensia U.S."
2019-04-19,20191146,"Nordic Capital VIII Beta, L.P.",Timothy Jenison,"NewTek, Inc.","20191146: Nordic Capital VIII Beta, L.P.; Timothy Jenison"
2019-04-19,20191112,"Joyvio Agricultural Development Co., Ltd.",Isidoro Ernesto Quiroga Moreno,Australis Seafoods S.A.,"20191112: Joyvio Agricultural Development Co., Ltd.; Isidoro Ernesto Quiroga Moreno"
2019-04-19,20191148,"KKR Special Situations (EEA) Fund II, L.P.","Gibson Brands, Inc.","Gibson Brands, Inc.","20191148: KKR Special Situations (EEA) Fund II, L.P.; Gibson Brands, Inc."
2019-04-19,20191114,"Knighthead Offshore Fund, Ltd.",PG&E Corporation,PG&E Corporation,"20191114: Knighthead Offshore Fund, Ltd.; PG&E Corporation"
2019-04-19,20191149,"Cove Hill Partners Fund I, L.P.",Bessemer Venture Partners VIII Institutional L.P.,"LiveAuctioneers, Inc.","20191149: Cove Hill Partners Fund I, L.P.; Bessemer Venture Partners VIII Institutional L.P."
2019-04-19,20191120,Stonepeak Infrastucture Fund III (AIV I) LP,Oryx Midstream Services LLC,Oryx Southern Delaware Oil Gathering and Transport LLC; Oryx Saragosa Gathering LLC; Oryx Permian Oil Marketing LLC,20191120: Stonepeak Infrastucture Fund III (AIV I) LP; Oryx Midstream Services LLC
2019-04-19,20191152,American Family Insurance Mutual Holding Company,"Ameriprise Financial, Inc.",IDS Property Casualty Insurance Company,"20191152: American Family Insurance Mutual Holding Company; Ameriprise Financial, Inc."
2019-04-19,20191122,Stonepeak Infrastucture Fund III (AIV I) LP,"Oryx Midstream Services II, LLC",Oryx Delaware Oil Transport LLC; Oryx Delaware Oil Gathering NM LLC; Delaware Oil Marketing LLC; Middle Cadence Holdings LLC; Oryx Delaware Oil Gathering TX LLC,"20191122: Stonepeak Infrastucture Fund III (AIV I) LP; Oryx Midstream Services II, LLC"
2019-04-19,20191159,MTY Food Group Inc.,"Papa Murphy's Holdings, Inc.","Papa Murphy's Holdings, Inc.","20191159: MTY Food Group Inc.; Papa Murphy's Holdings, Inc."
2019-04-19,20191127,Christopher Hutter,"Hannibal Industries, Inc.","Hannibal South, Inc.; Hannibal Industries, Inc.","20191127: Christopher Hutter; Hannibal Industries, Inc."
2019-04-19,20191130,Thomas Flohr,"Clearlake Capital Partners IV, L.P.",JetSmarter Holdings Inc.,"20191130: Thomas Flohr; Clearlake Capital Partners IV, L.P."
2019-04-19,20191131,"Madison Dearborn Capital Partners VII-B, L.P.",Robert E. McCarthy and Judith T. McCarthy,"Lightspeed Systems, Inc.","20191131: Madison Dearborn Capital Partners VII-B, L.P.; Robert E. McCarthy and Judith T. McCarthy"
2019-04-19,20191133,Naspers Limited,"Udemy, Inc.","Udemy, Inc.","20191133: Naspers Limited; Udemy, Inc."
2019-04-19,20191135,Paul Douglass,"Hannibal Industries, Inc.","Hannibal South, Inc.; Hannibal Industries, Inc.","20191135: Paul Douglass; Hannibal Industries, Inc."
2019-04-19,20191138,AEA Investors Fund VI AIV LP,"JFL Equity Investors IV, L.P.",RF1 Holding Company,"20191138: AEA Investors Fund VI AIV LP; JFL Equity Investors IV, L.P."
2019-04-19,20191139,Stanley C. Middleman,The J.G. Wentworth Company,"J.G. Wentworth Home Lending, LLC",20191139: Stanley C. Middleman; The J.G. Wentworth Company
2019-04-19,20191141,"Francisco Partners V, L.P.","Warburg Pincus Private Equity XI, L.P.","PayScale Holdings, Inc.","20191141: Francisco Partners V, L.P.; Warburg Pincus Private Equity XI, L.P."
2019-04-19,20191142,"The Baring Asia Private Equity Fund VII, L.P.",NIIT Technologies Limited,NIIT Technologies Limited,"20191142: The Baring Asia Private Equity Fund VII, L.P.; NIIT Technologies Limited"
2019-04-19,20191144,"Lighthouse Holdings, Inc.","Spire Capital Partners III, L.P.",Lighthouse Technologies Holding Corp.,"20191144: Lighthouse Holdings, Inc.; Spire Capital Partners III, L.P."
2019-04-17,20191047,"BG LLH, LLC","Fenway Partners Capital Fund III, L.P.","Preferred Freezer Services, LLC; Preferred Freezer Holdings, Inc.","20191047: BG LLH, LLC; Fenway Partners Capital Fund III, L.P."
2019-04-17,20191048,"Blucora, Inc.",Stephen A. Batman,"1st Global Insurance Services, Inc.; 1st Global, Inc.","20191048: Blucora, Inc.; Stephen A. Batman"
2019-04-16,20191129,"TPG VIII DE AIV II, L.P.","GEP Administrative Services, Inc. ESO Trust","GEP Administrative Services, Inc.","20191129: TPG VIII DE AIV II, L.P.; GEP Administrative Services, Inc. ESO Trust"
2019-04-16,20191132,Stichting Administratiekantoor Westend,"Meow Wolf, Inc.","Meow Wolf, Inc.","20191132: Stichting Administratiekantoor Westend; Meow Wolf, Inc."
2019-04-15,20191106,Berwind Holding Corp.,"Harbour Group Investments VI, L.P.","Flow Control Enterprises, Inc.","20191106: Berwind Holding Corp.; Harbour Group Investments VI, L.P."
2019-04-15,20191107,"Great Hill Equity Partners VI, L.P.","Customink, LLC","Customink, LLC","20191107: Great Hill Equity Partners VI, L.P.; Customink, LLC"
2019-04-15,20191108,"The IDEAL Industries, Inc. Voting Trust","Cree, Inc.","E-conolight LLC; Cree, Inc.","20191108: The IDEAL Industries, Inc. Voting Trust; Cree, Inc."
2019-04-15,20191109,SJW Group,"Connecticut Water Service, Inc.","Connecticut Water Service, Inc.","20191109: SJW Group; Connecticut Water Service, Inc."
2019-04-15,20191110,Progress Software Corporation,Roger Greene,"Ipswitch, Inc.",20191110: Progress Software Corporation; Roger Greene
2019-04-15,20191111,"Wingtech Technology Co., Ltd.",Hefei Yuxin Holding Co. Ltd.,Hefei Yuxin Holding Co. Ltd.,"20191111: Wingtech Technology Co., Ltd.; Hefei Yuxin Holding Co. Ltd."
2019-04-15,20191113,Thunder Bridge Acquisition LLC,Corsair IV Payment Holdings Investors L.P.,Hawk Parent Holdings LLC,20191113: Thunder Bridge Acquisition LLC; Corsair IV Payment Holdings Investors L.P.
2019-04-15,20191118,"Gridiron Capital Fund III, L.P.","LaMi Holdings, LLC","Jacent Strategic Merchandising, LLC; ATA Retail Services, LLC","20191118: Gridiron Capital Fund III, L.P.; LaMi Holdings, LLC"
2019-04-15,20191119,"Bain Capital Europe Fund V, SCSp",Maesa Expansion SAS,Maesa Expansion SAS,"20191119: Bain Capital Europe Fund V, SCSp; Maesa Expansion SAS"
2019-04-15,20191121,Accenture plc,David Droga,"Droga5, LLC",20191121: Accenture plc; David Droga
2019-04-15,20191053,"OpCapita Consumer Opportunities Fund II, L.P.","Ascena Retail Group, Inc.",Maurices Incorporated,"20191053: OpCapita Consumer Opportunities Fund II, L.P.; Ascena Retail Group, Inc."
2019-04-15,20191126,Jones Lang LaSalle Incorporated,"HFF, Inc.","HFF, Inc.","20191126: Jones Lang LaSalle Incorporated; HFF, Inc."
2019-04-15,20191094,"Church & Dwight Co., Inc.",Anand Khubani,Ideavillage Products Corp.,"20191094: Church & Dwight Co., Inc.; Anand Khubani"
2019-04-15,20191128,"Pamlico Capital IV, L.P.","BNI Holdings, LLC","BNI Holdings, LLC","20191128: Pamlico Capital IV, L.P.; BNI Holdings, LLC"
2019-04-15,20191096,TCV X L.P.,"Toast, Inc.","Toast, Inc.","20191096: TCV X L.P.; Toast, Inc."
2019-04-15,20191099,"Madison Dearborn Capital Partners VII-A, L.P.","InMoment, Inc.","InMoment, Inc.","20191099: Madison Dearborn Capital Partners VII-A, L.P.; InMoment, Inc."
2019-04-15,20191100,The E.W. Scripps Company,"Nexstar Media Group, lnc.","Nexstar Media Group, lnc.","20191100: The E.W. Scripps Company; Nexstar Media Group, lnc."
2019-04-15,20191104,Koninklijke Philips N.V.,Onex Partners II LP,"Algotec Systems Ltd.; Carestream Health, Inc.",20191104: Koninklijke Philips N.V.; Onex Partners II LP
2019-04-11,20190998,MasterCard Incorporated,Ethoca Solutions Inc.,Ethoca Limited,20190998: MasterCard Incorporated; Ethoca Solutions Inc.
2019-03-22,20190965,Yi Qin,Cornell Capital Partners LP,Corelle Brands Acquisition Holdings Inc.,20190965: Yi Qin; Cornell Capital Partners LP
2019-03-22,20190967,Jiwei Robert Wang,Cornell Capital Partners LP,Corelle Brands Acquisition Holdings Inc.,20190967: Jiwei Robert Wang; Cornell Capital Partners LP
2019-03-22,20190975,Blackstone Core Equity Partners NQ L.P.,"Servpro Holding Company, Inc.",Newco LLC,"20190975: Blackstone Core Equity Partners NQ L.P.; Servpro Holding Company, Inc."
2019-03-22,20190979,"FR XIII Foxtrot AIV, L.P.",The Weir Group PLC,Weir Floway Inc.,"20190979: FR XIII Foxtrot AIV, L.P.; The Weir Group PLC"
2019-03-22,20190982,"The Resolute Fund IV, L.P.",ARCH Holdco LLC,ARCH Global Precision LLC,"20190982: The Resolute Fund IV, L.P.; ARCH Holdco LLC"
2019-03-22,20190987,Goldman Sachs Renewable Power LLC,SunPower Corporation,HoldCo,20190987: Goldman Sachs Renewable Power LLC; SunPower Corporation
2019-03-22,20190992,"Vista Equity Partners Fund VII-A, L.P.","PlanSource Holdings, Inc.","PlanSource Holdings, Inc.","20190992: Vista Equity Partners Fund VII-A, L.P.; PlanSource Holdings, Inc."
2019-03-22,20190993,"ACI Worldwide, Inc.",The Western Union Company,"E Commerce Group Products, Inc.","20190993: ACI Worldwide, Inc.; The Western Union Company"
